matrix size: 78 	 crout: 0.05299973487854004[s] 	 doolittle: 0.11700057983398438[s] 	 cholesky: 0.06399941444396973[s] 	 numpy: 0.0039997100830078125[s] 	 scipy: 0.004000186920166016[s]
matrix size: 94 	 crout: 0.09000015258789062[s] 	 doolittle: 0.1849982738494873[s] 	 cholesky: 0.10799884796142578[s] 	 numpy: 0.005003690719604492[s] 	 scipy: 0.004000425338745117[s]
matrix size: 95 	 crout: 0.07251667976379395[s] 	 doolittle: 0.17600083351135254[s] 	 cholesky: 0.10099983215332031[s] 	 numpy: 0.005001068115234375[s] 	 scipy: 0.004997730255126953[s]
matrix size: 84 	 crout: 0.05300188064575195[s] 	 doolittle: 0.12399840354919434[s] 	 cholesky: 0.07300186157226562[s] 	 numpy: 0.0029990673065185547[s] 	 scipy: 0.003998994827270508[s]
matrix size: 79 	 crout: 0.04400372505187988[s] 	 doolittle: 0.11656951904296875[s] 	 cholesky: 0.06200122833251953[s] 	 numpy: 0.00500178337097168[s] 	 scipy: 0.004998445510864258[s]
matrix size: 86 	 crout: 0.05399894714355469[s] 	 doolittle: 0.13300371170043945[s] 	 cholesky: 0.07899689674377441[s] 	 numpy: 0.003998994827270508[s] 	 scipy: 0.0049991607666015625[s]
matrix size: 38 	 crout: 0.009001970291137695[s] 	 doolittle: 0.02000141143798828[s] 	 cholesky: 0.012996912002563477[s] 	 numpy: 0.0010039806365966797[s] 	 scipy: 0.0019991397857666016[s]
matrix size: 33 	 crout: 0.006999492645263672[s] 	 doolittle: 0.013999223709106445[s] 	 cholesky: 0.009000062942504883[s] 	 numpy: 0.0020017623901367188[s] 	 scipy: 0.000997781753540039[s]
matrix size: 69 	 crout: 0.03401303291320801[s] 	 doolittle: 0.07699441909790039[s] 	 cholesky: 0.046460866928100586[s] 	 numpy: 0.004016399383544922[s] 	 scipy: 0.0029821395874023438[s]
matrix size: 43 	 crout: 0.014002084732055664[s] 	 doolittle: 0.022576570510864258[s] 	 cholesky: 0.01704239845275879[s] 	 numpy: 0.0029997825622558594[s] 	 scipy: 0.0020024776458740234[s]
matrix size: 88 	 crout: 0.06100106239318848[s] 	 doolittle: 0.13076424598693848[s] 	 cholesky: 0.07899999618530273[s] 	 numpy: 0.004000425338745117[s] 	 scipy: 0.003999233245849609[s]
matrix size: 73 	 crout: 0.03800082206726074[s] 	 doolittle: 0.08099937438964844[s] 	 cholesky: 0.05100059509277344[s] 	 numpy: 0.003999233245849609[s] 	 scipy: 0.0029985904693603516[s]
matrix size: 32 	 crout: 0.007002830505371094[s] 	 doolittle: 0.010998010635375977[s] 	 cholesky: 0.009001731872558594[s] 	 numpy: 0.0019981861114501953[s] 	 scipy: 0.0020008087158203125[s]
matrix size: 91 	 crout: 0.0710000991821289[s] 	 doolittle: 0.15000009536743164[s] 	 cholesky: 0.09311723709106445[s] 	 numpy: 0.003882884979248047[s] 	 scipy: 0.006000041961669922[s]
matrix size: 37 	 crout: 0.008958578109741211[s] 	 doolittle: 0.017001628875732422[s] 	 cholesky: 0.011998653411865234[s] 	 numpy: 0.0020020008087158203[s] 	 scipy: 0.000997781753540039[s]
matrix size: 82 	 crout: 0.046999454498291016[s] 	 doolittle: 0.10800051689147949[s] 	 cholesky: 0.0690007209777832[s] 	 numpy: 0.004019737243652344[s] 	 scipy: 0.003979921340942383[s]
matrix size: 61 	 crout: 0.026998519897460938[s] 	 doolittle: 0.05300188064575195[s] 	 cholesky: 0.03499937057495117[s] 	 numpy: 0.0020003318786621094[s] 	 scipy: 0.0029990673065185547[s]
matrix size: 59 	 crout: 0.023000001907348633[s] 	 doolittle: 0.048999786376953125[s] 	 cholesky: 0.03200078010559082[s] 	 numpy: 0.003000974655151367[s] 	 scipy: 0.0019991397857666016[s]
matrix size: 58 	 crout: 0.0260012149810791[s] 	 doolittle: 0.04699897766113281[s] 	 cholesky: 0.03099989891052246[s] 	 numpy: 0.002001523971557617[s] 	 scipy: 0.0019991397857666016[s]
matrix size: 35 	 crout: 0.00699925422668457[s] 	 doolittle: 0.014999866485595703[s] 	 cholesky: 0.0110015869140625[s] 	 numpy: 0.00099945068359375[s] 	 scipy: 0.0009984970092773438[s]
matrix size: 78 	 crout: 0.04700040817260742[s] 	 doolittle: 0.12100768089294434[s] 	 cholesky: 0.0829925537109375[s] 	 numpy: 0.00800180435180664[s] 	 scipy: 0.006998300552368164[s]
matrix size: 38 	 crout: 0.011020660400390625[s] 	 doolittle: 0.022979021072387695[s] 	 cholesky: 0.015001296997070312[s] 	 numpy: 0.0009982585906982422[s] 	 scipy: 0.002030611038208008[s]
matrix size: 22 	 crout: 0.0029706954956054688[s] 	 doolittle: 0.010000944137573242[s] 	 cholesky: 0.003999471664428711[s] 	 numpy: 0.0[s] 	 scipy: 0.0009984970092773438[s]
matrix size: 85 	 crout: 0.06200218200683594[s] 	 doolittle: 0.13299894332885742[s] 	 cholesky: 0.08099818229675293[s] 	 numpy: 0.0040013790130615234[s] 	 scipy: 0.004003286361694336[s]
matrix size: 27 	 crout: 0.005005598068237305[s] 	 doolittle: 0.009000539779663086[s] 	 cholesky: 0.0069887638092041016[s] 	 numpy: 0.0010020732879638672[s] 	 scipy: 0.0009996891021728516[s]
